1,1,0,123,92,163,1,1,1
1,2,334,576,110,105,1,1,1
1,3,629,483,110,140,1,1,1
1,4,1188,39,92,231,1,1,1
2,1,0,113,109,193,1,1,1
2,2,341,585,109,100,1,1,1
2,3,634,492,107,141,1,1,1
2,4,1181,23,99,265,1,1,1
3,1,0,111,125,213,1,1,1
3,2,347,591,106,98,1,1,1
3,3,638,514,104,128,1,1,1
3,4,1176,58,104,247,1,1,1
4,1,0,112,140,229,1,1,1
4,2,353,597,104,97,1,1,1
4,3,642,521,102,129,1,1,1
4,4,1170,73,110,249,1,1,1
5,1,0,114,155,243,1,1,1
5,2,359,600,103,97,1,1,1
5,3,647,534,99,124,1,1,1
5,4,1162,96,118,241,1,1,1
6,1,0,115,169,257,1,1,1
6,2,364,607,102,94,1,1,1
6,3,650,547,97,119,1,1,1
6,4,1158,124,122,228,1,1,1
7,1,0,132,183,255,1,1,1
7,2,370,609,99,96,1,1,1
7,3,655,552,93,121,1,1,1
7,4,1152,148,128,218,1,1,1
8,1,0,152,195,250,1,1,1
8,2,376,615,96,94,1,1,1
8,3,658,568,92,112,1,1,1
8,4,1146,170,134,210,1,1,1
9,1,0,170,208,245,1,1,1
9,2,379,622,97,91,1,1,1
9,3,662,578,89,109,1,1,1
9,4,1141,192,139,202,1,1,1
10,1,0,185,220,244,1,1,1
10,2,385,627,95,89,1,1,1
10,3,664,584,88,110,1,1,1
10,4,1137,215,143,192,1,1,1
11,1,0,195,231,247,1,1,1
11,2,390,632,93,87,1,1,1
11,3,667,596,86,104,1,1,1
11,4,1131,232,149,187,1,1,1
12,1,0,231,242,223,1,1,1
12,2,395,634,92,89,1,1,1
12,3,671,606,83,100,1,1,1
12,4,1127,249,153,182,1,1,1
13,1,11,236,241,229,1,1,1
13,2,400,641,91,85,1,1,1
13,3,672,613,84,99,1,1,1
13,4,1123,262,157,181,1,1,1
14,1,29,253,233,224,1,1,1
14,2,404,645,91,84,1,1,1
14,3,676,621,81,96,1,1,1
14,4,1117,278,155,176,1,1,1
15,1,45,271,227,217,1,1,1
15,2,409,650,88,82,1,1,1
15,3,679,627,78,96,1,1,1
15,4,1113,298,151,167,1,1,1
16,1,61,281,221,218,1,1,1
16,2,413,653,87,82,1,1,1
16,3,681,639,77,89,1,1,1
16,4,1109,315,147,160,1,1,1
17,1,76,304,215,205,1,1,1
17,2,418,660,85,78,1,1,1
17,3,683,644,76,89,1,1,1
17,4,1106,318,143,167,1,1,1
17,5,1273,490,7,59,1,1,1
18,1,91,316,209,203,1,1,1
18,2,422,664,84,77,1,1,1
18,3,686,649,74,89,1,1,1
18,4,1102,340,140,155,1,1,1
18,5,1268,494,12,61,1,1,1
