Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 67,29,44,47,55,38.0,49.5,0,tracked object
Object 40,30,77,45,91,37.5,84.0,0,tracked object
Object 71,34,134,49,145,41.5,139.5,0,tracked object
Object 13,67,90,82,105,74.5,97.5,0,tracked object
Object 48,79,44,95,58,87.0,51.0,0,tracked object
Object 36,90,99,121,120,105.5,109.5,0,tracked object
Object 43,112,70,126,83,119.0,76.5,0,tracked object
Object 70,129,32,139,45,134.0,38.5,0,tracked object
Object 72,146,116,161,130,153.5,123.0,0,tracked object
Object 73,158,65,173,79,165.5,72.0,0,tracked object
Object 74,211,38,240,144,225.5,91.0,0,tracked object
