Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 124,33,88,52,105,42.5,96.5,0,tracked object
Object 141,34,46,57,59,45.5,52.5,0,tracked object
Object 158,36,159,54,174,45.0,166.5,0,tracked object
Object 13,80,109,99,128,89.5,118.5,0,tracked object
Object 135,100,51,121,70,110.5,60.5,0,tracked object
Object 36,109,124,148,149,128.5,136.5,0,tracked object
Object 99,140,87,157,104,148.5,95.5,0,tracked object
Object 156,163,41,176,57,169.5,49.0,0,tracked object
Object 152,177,146,194,163,185.5,154.5,0,tracked object
Object 157,196,84,213,103,204.5,93.5,0,tracked object
