Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 36,102,137,152,167,127.0,152.0,0,tracked object
Object 99,142,90,165,112,153.5,101.0,0,tracked object
Object 13,66,117,89,139,77.5,128.0,0,tracked object
Object 117,174,29,191,51,182.5,40.0,0,tracked object
Object 118,90,42,117,67,103.5,54.5,0,tracked object
Object 124,14,89,34,110,24.0,99.5,0,tracked object
Object 126,16,39,40,55,28.0,47.0,0,tracked object
Object 128,215,87,237,112,226.0,99.5,0,tracked object
Object 130,188,165,209,180,198.5,172.5,0,new object
Object 125,21,170,40,178,30.5,174.0,0,tracked object
