Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 11,24,70,42,90,33.0,80.0,0,tracked object
Object 21,26,155,45,175,35.5,165.0,0,tracked object
Object 10,27,24,48,37,37.5,30.5,0,tracked object
Object 13,71,91,95,115,83.0,103.0,0,tracked object
Object 3,95,17,121,39,108.0,28.0,0,tracked object
Object 14,109,108,165,145,137.0,126.5,0,tracked object
Object 1,149,56,174,79,161.5,67.5,0,tracked object
Object 22,176,0,193,16,184.5,8.0,0,tracked object
Object 19,210,140,235,167,222.5,153.5,0,tracked object
Object 20,228,50,240,67,234.0,58.5,0,tracked object
