Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 36,142,126,180,151,161.0,138.5,0,tracked object
Object 99,172,89,189,106,180.5,97.5,0,tracked object
Object 13,113,115,132,133,122.5,124.0,0,tracked object
Object 135,129,54,152,74,140.5,64.0,0,tracked object
Object 156,194,40,207,57,200.5,48.5,0,tracked object
Object 162,225,83,240,102,232.5,92.5,0,tracked object
Object 163,206,143,221,159,213.5,151.0,0,tracked object
Object 165,68,163,89,179,78.5,171.0,0,tracked object
Object 167,61,96,82,114,71.5,105.0,0,tracked object
Object 170,55,47,85,68,70.0,57.5,0,tracked object
