Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 13,89,71,112,93,100.5,82.0,0,tracked object
Object 36,117,104,159,123,138.0,113.5,0,tracked object
Object 40,67,0,88,10,77.5,5.0,0,tracked object
Object 48,133,20,153,40,143.0,30.0,0,tracked object
Object 99,162,66,178,86,170.0,76.0,0,tracked object
Object 103,45,34,68,57,56.5,45.5,0,tracked object
Object 106,195,30,206,47,200.5,38.5,0,tracked object
Object 107,213,81,226,102,219.5,91.5,0,tracked object
Object 108,180,138,196,156,188.0,147.0,0,tracked object
Object 109,25,116,47,136,36.0,126.0,0,tracked object
