Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 109,16,154,38,175,27.0,164.5,0,tracked object
Object 103,30,68,53,92,41.5,80.0,0,tracked object
Object 40,46,21,71,40,58.5,30.5,0,tracked object
Object 13,78,106,102,129,90.0,117.5,0,tracked object
Object 36,110,136,155,159,132.5,147.5,0,tracked object
Object 48,119,48,141,69,130.0,58.5,0,tracked object
Object 99,154,95,172,115,163.0,105.0,0,tracked object
Object 108,179,167,196,180,187.5,173.5,0,tracked object
Object 106,187,51,199,69,193.0,60.0,0,tracked object
Object 107,210,104,224,125,217.0,114.5,0,tracked object
