Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 63,9,156,28,173,18.5,164.5,0,tracked object
Object 40,11,77,29,96,20.0,86.5,0,tracked object
Object 54,16,37,37,49,26.5,43.0,0,tracked object
Object 13,55,99,76,119,65.5,109.0,0,tracked object
Object 48,79,39,101,57,90.0,48.0,0,tracked object
Object 36,87,116,133,145,110.0,130.5,0,tracked object
Object 43,122,74,141,93,131.5,83.5,0,tracked object
Object 60,146,27,160,43,153.0,35.0,0,tracked object
Object 64,169,142,189,163,179.0,152.5,0,tracked object
Object 65,185,71,206,91,195.5,81.0,0,tracked object
