Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 319,4,29,31,44,17.5,36.5,0,tracked object
Object 282,5,79,28,101,16.5,90.0,0,tracked object
Object 312,16,170,36,180,26.0,175.0,0,tracked object
Object 281,64,98,89,123,76.5,110.5,0,tracked object
Object 318,82,25,107,47,94.5,36.0,0,tracked object
Object 303,103,109,152,146,127.5,127.5,0,tracked object
Object 317,136,63,157,84,146.5,73.5,0,tracked object
Object 320,156,9,171,27,163.5,18.0,0,tracked object
Object 321,189,131,208,153,198.5,142.0,0,tracked object
Object 322,199,56,220,77,209.5,66.5,0,tracked object
