Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 158,25,127,43,145,34.0,136.0,0,tracked object
Object 124,39,56,58,77,48.5,66.5,0,tracked object
Object 141,52,15,74,32,63.0,23.5,0,tracked object
Object 13,78,90,98,109,88.0,99.5,0,tracked object
Object 36,104,118,145,136,124.5,127.0,0,tracked object
Object 135,116,38,137,57,126.5,47.5,0,tracked object
Object 99,146,82,163,101,154.5,91.5,0,tracked object
Object 152,167,150,184,166,175.5,158.0,0,tracked object
Object 156,181,43,195,60,188.0,51.5,0,tracked object
Object 157,201,93,216,114,208.5,103.5,0,tracked object
Object 159,234,170,240,180,237.0,175.0,0,tracked object
