Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 11,41,64,63,85,52.0,74.5,0,tracked object
Object 10,41,17,69,31,55.0,24.0,0,tracked object
Object 21,45,148,67,165,56.0,156.5,0,tracked object
Object 13,96,87,119,108,107.5,97.5,0,tracked object
Object 3,119,22,143,41,131.0,31.5,0,tracked object
Object 14,131,102,174,131,152.5,116.5,0,tracked object
Object 1,164,61,183,80,173.5,70.5,0,tracked object
Object 17,187,12,200,30,193.5,21.0,0,tracked object
Object 19,203,125,220,145,211.5,135.0,0,tracked object
Object 20,220,59,237,80,228.5,69.5,0,tracked object
