Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 148,45,164,63,180,54.0,172.0,0,tracked object
Object 124,51,97,69,114,60.0,105.5,0,tracked object
Object 141,57,60,78,74,67.5,67.0,0,tracked object
Object 13,92,122,110,138,101.0,130.0,0,tracked object
Object 135,116,73,133,89,124.5,81.0,0,tracked object
Object 36,118,139,153,160,135.5,149.5,0,tracked object
Object 99,148,107,163,122,155.5,114.5,0,tracked object
Object 146,171,68,181,82,176.0,75.0,0,tracked object
Object 147,176,161,191,177,183.5,169.0,0,tracked object
Object 149,196,108,210,125,203.0,116.5,0,tracked object
