Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 84,35,127,51,142,43.0,134.5,0,tracked object
Object 40,41,62,58,78,49.5,70.0,0,tracked object
Object 76,48,27,68,40,58.0,33.5,0,tracked object
Object 13,80,84,97,101,88.5,92.5,0,tracked object
Object 36,104,103,139,123,121.5,113.0,0,tracked object
Object 48,104,38,120,53,112.0,45.5,0,tracked object
Object 43,135,71,150,86,142.5,78.5,0,tracked object
Object 81,158,34,170,48,164.0,41.0,0,tracked object
Object 80,164,127,179,143,171.5,135.0,0,tracked object
Object 82,183,74,198,92,190.5,83.0,0,tracked object
Object 86,225,115,240,165,232.5,140.0,0,new object
