Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 176,32,125,47,141,39.5,133.0,0,tracked object
Object 172,47,67,63,86,55.0,76.5,0,tracked object
Object 170,61,32,78,48,69.5,40.0,0,tracked object
Object 173,77,100,94,117,85.5,108.5,0,tracked object
Object 36,97,130,133,141,115.0,135.5,0,tracked object
Object 135,113,58,131,74,122.0,66.0,0,tracked object
Object 99,136,99,152,116,144.0,107.5,0,tracked object
Object 177,151,162,167,176,159.0,169.0,0,tracked object
Object 156,173,65,187,81,180.0,73.0,0,tracked object
Object 175,189,114,204,133,196.5,123.5,0,tracked object
Object 178,232,169,240,180,236.0,174.5,0,tracked object
