Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 183,0,128,78,180,39.0,154.0,0,tracked object
Object 176,63,101,80,117,71.5,109.0,0,tracked object
Object 184,90,47,109,68,99.5,57.5,0,tracked object
Object 185,113,11,133,33,123.0,22.0,0,tracked object
Object 173,118,88,134,103,126.0,95.5,0,tracked object
Object 36,133,116,167,128,150.0,122.0,0,tracked object
Object 135,164,55,181,71,172.5,63.0,0,tracked object
Object 182,172,148,187,159,179.5,153.5,0,tracked object
Object 99,176,96,191,110,183.5,103.0,0,tracked object
Object 156,216,73,229,87,222.5,80.0,0,tracked object
Object 175,216,115,226,131,221.0,123.0,0,tracked object
Object 181,219,163,240,180,229.5,171.5,0,tracked object
