Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 266,56,84,78,103,67.0,93.5,0,tracked object
Object 267,124,30,146,52,135.0,41.0,0,tracked object
Object 268,50,40,76,52,63.0,46.0,0,tracked object
Object 272,113,97,136,120,124.5,108.5,0,tracked object
Object 274,188,12,202,33,195.0,22.5,0,tracked object
Object 275,174,62,192,85,183.0,73.5,0,tracked object
Object 276,230,49,240,70,235.0,59.5,0,tracked object
Object 277,149,103,190,140,169.5,121.5,0,tracked object
Object 278,68,162,90,180,79.0,171.0,0,new object
Object 279,224,120,240,144,232.0,132.0,0,new object
