Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 10,47,7,74,20,60.5,13.5,0,tracked object
Object 11,48,52,71,73,59.5,62.5,0,tracked object
Object 21,55,139,78,157,66.5,148.0,0,tracked object
Object 13,107,68,131,92,119.0,80.0,0,tracked object
Object 3,124,3,147,22,135.5,12.5,0,tracked object
Object 14,145,81,192,115,168.5,98.0,0,tracked object
Object 1,176,38,196,58,186.0,48.0,0,tracked object
Object 17,195,0,206,6,200.5,3.0,0,tracked object
Object 19,226,106,240,128,233.0,117.0,0,tracked object
Object 20,234,35,240,48,237.0,41.5,0,tracked object
