Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 13,52,94,73,114,62.5,104.0,0,tracked object
Object 36,84,114,128,140,106.0,127.0,0,tracked object
Object 99,121,72,140,92,130.5,82.0,0,tracked object
Object 117,151,22,165,40,158.0,31.0,0,tracked object
Object 118,79,31,102,51,90.5,41.0,0,tracked object
Object 122,161,141,180,160,170.5,150.5,0,tracked object
Object 124,8,69,26,88,17.0,78.5,0,tracked object
Object 125,8,146,26,163,17.0,154.5,0,tracked object
Object 126,12,25,34,39,23.0,32.0,0,tracked object
Object 128,185,73,204,94,194.5,83.5,0,tracked object
Object 129,235,167,240,180,237.5,173.5,0,tracked object
