Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 137,17,167,38,180,27.5,173.5,0,new object
Object 124,25,87,47,109,36.0,98.0,0,tracked object
Object 134,36,40,61,58,48.5,49.0,0,tracked object
Object 13,73,120,95,140,84.0,130.0,0,tracked object
Object 36,104,144,145,167,124.5,155.5,0,tracked object
Object 135,107,61,129,82,118.0,71.5,0,tracked object
Object 99,143,106,160,124,151.5,115.0,0,tracked object
Object 132,170,170,186,180,178.0,175.0,0,tracked object
Object 136,173,61,186,78,179.5,69.5,0,tracked object
Object 133,197,110,211,129,204.0,119.5,0,tracked object
