Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 67,34,45,52,55,43.0,50.0,0,tracked object
Object 40,35,78,51,92,43.0,85.0,0,tracked object
Object 71,39,135,54,147,46.5,141.0,0,tracked object
Object 13,73,92,88,107,80.5,99.5,0,tracked object
Object 48,86,46,102,60,94.0,53.0,0,tracked object
Object 36,97,102,128,123,112.5,112.5,0,tracked object
Object 43,119,72,133,85,126.0,78.5,0,tracked object
Object 70,137,33,148,46,142.5,39.5,0,tracked object
Object 72,154,119,168,133,161.0,126.0,0,tracked object
Object 73,166,67,181,82,173.5,74.5,0,tracked object
Object 74,219,40,240,148,229.5,94.0,0,tracked object
