Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 137,33,105,52,125,42.5,115.0,0,tracked object
Object 124,65,40,86,62,75.5,51.0,0,tracked object
Object 134,93,3,112,24,102.5,13.5,0,tracked object
Object 13,96,84,114,103,105.0,93.5,0,tracked object
Object 36,114,118,150,132,132.0,125.0,0,tracked object
Object 135,145,47,162,64,153.5,55.5,0,tracked object
Object 99,159,92,174,108,166.5,100.0,0,tracked object
Object 132,159,154,174,168,166.5,161.0,0,tracked object
Object 136,197,65,209,80,203.0,72.5,0,tracked object
Object 133,201,112,211,130,206.0,121.0,0,tracked object
Object 138,217,153,240,180,228.5,166.5,0,tracked object
