Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 36,66,109,105,122,85.5,115.5,0,tracked object
Object 99,111,78,128,95,119.5,86.5,0,tracked object
Object 135,88,30,111,51,99.5,40.5,0,tracked object
Object 156,155,44,170,61,162.5,52.5,0,tracked object
Object 170,26,0,48,16,37.0,8.0,0,tracked object
Object 172,6,38,26,62,16.0,50.0,0,tracked object
Object 173,44,78,62,97,53.0,87.5,0,tracked object
Object 176,0,112,8,124,4.0,118.0,0,tracked object
Object 181,164,95,240,180,202.0,137.5,0,tracked object
Object 182,121,139,137,153,129.0,146.0,0,tracked object
Object 175,163,95,177,113,170.0,104.0,0,tracked object
