Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 67,29,44,46,55,37.5,49.5,0,tracked object
Object 40,30,76,44,90,37.0,83.0,0,tracked object
Object 71,34,131,48,143,41.0,137.0,0,tracked object
Object 13,66,90,80,104,73.0,97.0,0,tracked object
Object 48,78,45,93,59,85.5,52.0,0,tracked object
Object 36,88,98,118,119,103.0,108.5,0,tracked object
Object 43,110,70,123,83,116.5,76.5,0,tracked object
Object 70,127,33,137,45,132.0,39.0,0,tracked object
Object 72,143,114,157,129,150.0,121.5,0,tracked object
Object 73,154,65,170,79,162.0,72.0,0,tracked object
Object 74,207,38,240,143,223.5,90.5,0,tracked object
