Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 141,27,53,49,65,38.0,59.0,0,tracked object
Object 124,33,94,52,111,42.5,102.5,0,tracked object
Object 148,47,161,65,174,56.0,167.5,0,tracked object
Object 13,81,107,100,126,90.5,116.5,0,tracked object
Object 135,90,47,112,66,101.0,56.5,0,tracked object
Object 36,112,114,150,142,131.0,128.0,0,tracked object
Object 99,136,76,154,93,145.0,84.5,0,tracked object
Object 156,153,25,166,42,159.5,33.5,0,tracked object
Object 152,184,130,201,148,192.5,139.0,0,tracked object
Object 157,194,65,214,84,204.0,74.5,0,tracked object
