Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 141,32,50,55,64,43.5,57.0,0,tracked object
Object 124,34,96,54,114,44.0,105.0,0,tracked object
Object 148,42,170,61,180,51.5,175.0,0,tracked object
Object 13,84,116,106,137,95.0,126.5,0,tracked object
Object 135,102,50,126,71,114.0,60.5,0,tracked object
Object 36,118,131,162,160,140.0,145.5,0,tracked object
Object 99,151,89,171,109,161.0,99.0,0,tracked object
Object 156,175,33,191,52,183.0,42.5,0,tracked object
Object 152,196,154,216,174,206.0,164.0,0,tracked object
Object 157,216,82,237,104,226.5,93.0,0,tracked object
