Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 195,64,23,88,34,76.0,28.5,0,tracked object
Object 205,68,63,89,81,78.5,72.0,0,tracked object
Object 206,76,138,96,153,86.0,145.5,0,tracked object
Object 199,120,77,140,98,130.0,87.5,0,tracked object
Object 194,132,19,152,37,142.0,28.0,0,tracked object
Object 201,153,87,191,118,172.0,102.5,0,tracked object
Object 99,178,49,195,67,186.5,58.0,0,tracked object
Object 207,192,4,204,20,198.0,12.0,0,new object
Object 204,222,107,238,126,230.0,116.5,0,tracked object
Object 200,229,44,240,58,234.5,51.0,0,tracked object
