Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 124,33,58,53,77,43.0,67.5,0,tracked object
Object 134,34,18,57,30,45.5,24.0,0,tracked object
Object 131,37,135,56,151,46.5,143.0,0,tracked object
Object 13,82,75,103,96,92.5,85.5,0,tracked object
Object 135,101,17,121,35,111.0,26.0,0,tracked object
Object 36,114,88,156,117,135.0,102.5,0,tracked object
Object 99,144,49,162,67,153.0,58.0,0,tracked object
Object 136,163,5,175,20,169.0,12.5,0,tracked object
Object 132,188,110,206,130,197.0,120.0,0,tracked object
Object 133,199,46,218,64,208.5,55.0,0,tracked object
