Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 99,174,94,192,112,183.0,103.0,0,tracked object
Object 194,129,60,150,78,139.5,69.0,0,tracked object
Object 195,58,59,83,73,70.5,66.0,0,tracked object
Object 199,112,122,132,142,122.0,132.0,0,tracked object
Object 200,230,85,240,101,235.0,93.0,0,tracked object
Object 201,145,133,186,163,165.5,148.0,0,tracked object
Object 204,217,152,234,172,225.5,162.0,0,tracked object
Object 205,60,103,81,121,70.5,112.0,0,tracked object
Object 207,193,42,205,60,199.0,51.0,0,tracked object
Object 206,67,178,77,180,72.0,179.0,0,tracked object
