Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 227,16,74,37,84,26.5,79.0,0,tracked object
Object 226,23,110,41,126,32.0,118.0,0,tracked object
Object 224,39,173,56,180,47.5,176.5,0,tracked object
Object 217,69,118,85,135,77.0,126.5,0,tracked object
Object 194,73,65,90,82,81.5,73.5,0,tracked object
Object 201,97,119,128,147,112.5,133.0,0,tracked object
Object 99,113,87,127,102,120.0,94.5,0,tracked object
Object 219,122,45,133,58,127.5,51.5,0,tracked object
Object 220,157,73,175,88,166.0,80.5,0,tracked object
Object 221,158,128,173,144,165.5,136.0,0,tracked object
Object 223,215,35,240,144,227.5,89.5,0,tracked object
