Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 183,0,127,101,180,50.5,153.5,0,tracked object
Object 176,36,71,55,90,45.5,80.5,0,tracked object
Object 184,65,4,88,30,76.5,17.0,0,tracked object
Object 173,100,53,119,72,109.5,62.5,0,tracked object
Object 36,118,87,158,102,138.0,94.5,0,tracked object
Object 135,157,14,178,35,167.5,24.5,0,tracked object
Object 182,164,125,180,137,172.0,131.0,0,tracked object
Object 99,170,65,187,82,178.5,73.5,0,tracked object
Object 181,201,142,240,180,220.5,161.0,0,tracked object
Object 175,215,89,226,107,220.5,98.0,0,tracked object
Object 156,218,40,233,57,225.5,48.5,0,tracked object
