Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 125,6,154,24,172,15.0,163.0,0,tracked object
Object 124,7,76,25,96,16.0,86.0,0,tracked object
Object 126,13,31,35,46,24.0,38.5,0,tracked object
Object 13,52,103,73,124,62.5,113.5,0,tracked object
Object 118,80,40,104,60,92.0,50.0,0,tracked object
Object 36,84,126,130,152,107.0,139.0,0,tracked object
Object 99,123,83,143,103,133.0,93.0,0,tracked object
Object 117,155,32,170,50,162.5,41.0,0,tracked object
Object 122,162,155,182,175,172.0,165.0,0,tracked object
Object 128,190,85,210,108,200.0,96.5,0,tracked object
