Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 63,3,150,21,168,12.0,159.0,0,tracked object
Object 40,5,72,24,90,14.5,81.0,0,tracked object
Object 54,12,32,33,44,22.5,38.0,0,tracked object
Object 13,49,93,70,114,59.5,103.5,0,tracked object
Object 48,74,35,95,53,84.5,44.0,0,tracked object
Object 36,81,111,125,140,103.0,125.5,0,tracked object
Object 43,115,71,134,89,124.5,80.0,0,tracked object
Object 60,140,26,153,41,146.5,33.5,0,tracked object
Object 64,160,138,179,159,169.5,148.5,0,tracked object
Object 65,176,70,196,90,186.0,80.0,0,tracked object
