Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 13,60,96,78,118,69.0,107.0,0,tracked object
Object 36,82,135,124,151,103.0,143.0,0,tracked object
Object 99,131,100,150,121,140.5,110.5,0,tracked object
Object 107,194,121,211,146,202.5,133.5,0,tracked object
Object 114,28,55,46,77,37.0,66.0,0,tracked object
Object 115,7,123,22,144,14.5,133.5,0,tracked object
Object 117,178,60,194,80,186.0,70.0,0,tracked object
Object 118,106,48,127,69,116.5,58.5,0,tracked object
Object 119,49,16,68,35,58.5,25.5,0,tracked object
Object 116,151,179,160,180,155.5,179.5,0,tracked object
