Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 148,46,155,64,171,55.0,163.0,0,tracked object
Object 124,53,89,70,106,61.5,97.5,0,tracked object
Object 141,58,51,79,65,68.5,58.0,0,tracked object
Object 13,93,113,110,129,101.5,121.0,0,tracked object
Object 135,117,64,135,80,126.0,72.0,0,tracked object
Object 36,119,131,154,151,136.5,141.0,0,tracked object
Object 99,149,98,164,114,156.5,106.0,0,tracked object
Object 146,172,60,182,74,177.0,67.0,0,tracked object
Object 147,177,153,192,169,184.5,161.0,0,tracked object
Object 149,197,100,211,116,204.0,108.0,0,tracked object
