Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 134,12,32,40,47,26.0,39.5,0,tracked object
Object 124,13,84,36,106,24.5,95.0,0,tracked object
Object 131,24,172,46,180,35.0,176.0,0,tracked object
Object 13,72,106,97,130,84.5,118.0,0,tracked object
Object 135,94,33,120,55,107.0,44.0,0,tracked object
Object 36,111,120,158,153,134.5,136.5,0,tracked object
Object 99,145,75,166,95,155.5,85.0,0,tracked object
Object 136,170,19,184,38,177.0,28.5,0,tracked object
Object 132,191,142,209,162,200.0,152.0,0,tracked object
Object 133,208,69,227,91,217.5,80.0,0,tracked object
