Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 134,18,31,46,47,32.0,39.0,0,tracked object
Object 124,18,83,41,105,29.5,94.0,0,tracked object
Object 131,27,171,49,180,38.0,175.5,0,tracked object
Object 13,77,107,102,131,89.5,119.0,0,tracked object
Object 135,99,34,126,56,112.5,45.0,0,tracked object
Object 36,115,122,162,155,138.5,138.5,0,tracked object
Object 99,151,77,172,98,161.5,87.5,0,tracked object
Object 136,176,21,191,40,183.5,30.5,0,tracked object
Object 132,196,145,214,166,205.0,155.5,0,tracked object
Object 133,215,72,233,94,224.0,83.0,0,tracked object
