Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 13,86,82,103,100,94.5,91.0,0,tracked object
Object 36,100,115,136,133,118.0,124.0,0,tracked object
Object 40,65,39,82,59,73.5,49.0,0,tracked object
Object 43,146,96,161,112,153.5,104.0,0,tracked object
Object 48,135,51,152,68,143.5,59.5,0,tracked object
Object 76,94,10,109,29,101.5,19.5,0,tracked object
Object 80,143,161,159,176,151.0,168.5,0,tracked object
Object 81,187,73,198,88,192.5,80.5,0,tracked object
Object 82,189,121,200,140,194.5,130.5,0,tracked object
Object 84,29,93,45,112,37.0,102.5,0,tracked object
Object 86,225,164,240,180,232.5,172.0,0,tracked object
