Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 137,25,132,45,151,35.0,141.5,0,tracked object
Object 124,49,61,71,84,60.0,72.5,0,tracked object
Object 134,71,21,92,41,81.5,31.0,0,tracked object
Object 13,86,102,105,121,95.5,111.5,0,tracked object
Object 36,108,134,146,148,127.0,141.0,0,tracked object
Object 135,130,58,149,76,139.5,67.0,0,tracked object
Object 99,151,103,166,120,158.5,111.5,0,tracked object
Object 132,160,165,175,180,167.5,172.5,0,tracked object
Object 136,186,70,198,85,192.0,77.5,0,tracked object
Object 133,197,117,208,135,202.5,126.0,0,tracked object
Object 138,225,157,240,180,232.5,168.5,0,tracked object
