Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 36,74,103,117,128,95.5,115.5,0,tracked object
Object 99,133,89,153,108,143.0,98.5,0,tracked object
Object 13,63,63,83,85,73.0,74.0,0,tracked object
Object 124,43,5,63,32,53.0,18.5,0,tracked object
Object 135,127,30,150,53,138.5,41.5,0,tracked object
Object 152,118,162,138,177,128.0,169.5,0,tracked object
Object 156,190,69,205,87,197.5,78.0,0,tracked object
Object 157,180,126,194,148,187.0,137.0,0,tracked object
Object 158,0,67,15,90,7.5,78.5,0,tracked object
Object 159,228,180,240,170,234.0,175.0,0,tracked object
