Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 11,46,80,69,101,57.5,90.5,0,tracked object
Object 10,46,32,73,47,59.5,39.5,0,tracked object
Object 21,51,163,72,180,61.5,171.5,0,tracked object
Object 13,102,103,125,125,113.5,114.0,0,tracked object
Object 3,124,37,147,57,135.5,47.0,0,tracked object
Object 14,136,118,179,147,157.5,132.5,0,tracked object
Object 1,169,77,188,96,178.5,86.5,0,tracked object
Object 17,192,26,205,44,198.5,35.0,0,tracked object
Object 19,207,140,224,158,215.5,149.0,0,tracked object
Object 20,225,73,240,94,232.5,83.5,0,tracked object
