Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 67,28,47,46,57,37.0,52.0,0,tracked object
Object 40,30,79,44,92,37.0,85.5,0,tracked object
Object 71,33,133,48,145,40.5,139.0,0,tracked object
Object 13,65,91,79,106,72.0,98.5,0,tracked object
Object 48,78,48,93,61,85.5,54.5,0,tracked object
Object 36,88,101,117,121,102.5,111.0,0,tracked object
Object 43,109,72,122,85,115.5,78.5,0,tracked object
Object 70,126,35,136,48,131.0,41.5,0,tracked object
Object 72,142,117,156,131,149.0,124.0,0,tracked object
Object 73,153,67,169,81,161.0,74.0,0,tracked object
Object 74,206,41,240,145,223.0,93.0,0,tracked object
