Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 183,0,122,97,180,48.5,151.0,0,tracked object
Object 176,47,77,66,94,56.5,85.5,0,tracked object
Object 184,77,14,99,39,88.0,26.5,0,tracked object
Object 173,109,62,128,81,118.5,71.5,0,tracked object
Object 36,126,94,164,110,145.0,102.0,0,tracked object
Object 135,164,26,185,45,174.5,35.5,0,tracked object
Object 182,168,132,184,144,176.0,138.0,0,tracked object
Object 99,175,75,192,91,183.5,83.0,0,tracked object
Object 181,203,151,240,180,221.5,165.5,0,tracked object
Object 175,218,98,229,116,223.5,107.0,0,tracked object
Object 156,222,52,236,68,229.0,60.0,0,tracked object
