Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 281,58,70,80,90,69.0,80.0,0,tracked object
Object 282,18,39,38,59,28.0,49.0,0,tracked object
Object 300,96,17,117,36,106.5,26.5,0,tracked object
Object 301,129,60,147,79,138.0,69.5,0,tracked object
Object 303,87,98,130,119,108.5,108.5,0,tracked object
Object 310,33,0,55,14,44.0,7.0,0,tracked object
Object 312,3,116,23,135,13.0,125.5,0,tracked object
Object 313,162,21,176,37,169.0,29.0,0,tracked object
Object 314,187,70,203,92,195.0,81.0,0,tracked object
Object 315,156,132,175,151,165.5,141.5,0,tracked object
