Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 141,35,51,56,62,45.5,56.5,0,tracked object
Object 124,40,89,58,106,49.0,97.5,0,tracked object
Object 148,52,154,69,167,60.5,160.5,0,tracked object
Object 13,86,102,104,120,95.0,111.0,0,tracked object
Object 135,95,45,116,63,105.5,54.0,0,tracked object
Object 36,116,109,153,136,134.5,122.5,0,tracked object
Object 99,139,73,156,90,147.5,81.5,0,tracked object
Object 156,156,25,169,41,162.5,33.0,0,tracked object
Object 152,185,126,201,143,193.0,134.5,0,tracked object
Object 157,194,63,214,81,204.0,72.0,0,tracked object
