Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 36,65,67,93,101,79.0,84.0,0,tracked object
Object 99,112,87,127,103,119.5,95.0,0,tracked object
Object 13,78,37,96,55,87.0,46.0,0,tracked object
Object 135,137,44,155,64,146.0,54.0,0,tracked object
Object 156,160,102,176,113,168.0,107.5,0,tracked object
Object 162,126,136,140,152,133.0,144.0,0,tracked object
Object 163,68,129,83,144,75.5,136.5,0,tracked object
Object 165,30,3,42,23,36.0,13.0,0,tracked object
Object 166,0,154,11,180,5.5,167.0,0,tracked object
Object 167,93,0,103,7,98.0,3.5,0,tracked object
Object 168,140,0,147,3,143.5,1.5,0,tracked object
