Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 99,159,90,179,111,169.0,100.5,0,tracked object
Object 201,90,109,110,129,100.0,119.0,0,tracked object
Object 226,44,82,62,102,53.0,92.0,0,tracked object
Object 237,116,44,139,67,127.5,55.5,0,tracked object
Object 238,45,36,68,55,56.5,45.5,0,tracked object
Object 239,191,36,207,56,199.0,46.0,0,tracked object
Object 241,226,91,240,114,233.0,102.5,0,tracked object
Object 242,121,131,165,155,143.0,143.0,0,tracked object
Object 243,195,160,215,178,205.0,169.0,0,new object
Object 244,45,150,63,173,54.0,161.5,0,new object
