Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 282,8,69,30,90,19.0,79.5,0,tracked object
Object 319,11,22,37,36,24.0,29.0,0,tracked object
Object 312,12,157,34,175,23.0,166.0,0,tracked object
Object 281,62,92,86,115,74.0,103.5,0,tracked object
Object 318,86,24,111,45,98.5,34.5,0,tracked object
Object 303,99,109,146,141,122.5,125.0,0,tracked object
Object 317,134,64,154,84,144.0,74.0,0,tracked object
Object 320,159,14,173,32,166.0,23.0,0,tracked object
Object 321,180,134,199,155,189.5,144.5,0,tracked object
Object 322,197,63,216,84,206.5,73.5,0,tracked object
