Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 67,34,58,51,68,42.5,63.0,0,tracked object
Object 40,35,90,50,104,42.5,97.0,0,tracked object
Object 71,40,146,55,158,47.5,152.0,0,tracked object
Object 13,72,103,87,118,79.5,110.5,0,tracked object
Object 48,84,58,100,72,92.0,65.0,0,tracked object
Object 36,96,112,126,134,111.0,123.0,0,tracked object
Object 43,117,83,131,96,124.0,89.5,0,tracked object
Object 70,133,44,144,57,138.5,50.5,0,tracked object
Object 72,152,128,167,143,159.5,135.5,0,tracked object
Object 73,163,77,179,92,171.0,84.5,0,tracked object
Object 74,219,47,240,155,229.5,101.0,0,tracked object
