Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 40,16,57,35,76,25.5,66.5,0,tracked object
Object 63,16,137,35,154,25.5,145.5,0,tracked object
Object 54,20,17,42,29,31.0,23.0,0,tracked object
Object 13,63,77,85,97,74.0,87.0,0,tracked object
Object 48,86,18,107,36,96.5,27.0,0,tracked object
Object 36,95,91,139,120,117.0,105.5,0,tracked object
Object 43,127,52,146,70,136.5,61.0,0,tracked object
Object 60,149,9,162,24,155.5,16.5,0,tracked object
Object 64,172,116,190,136,181.0,126.0,0,tracked object
Object 65,185,51,204,70,194.5,60.5,0,tracked object
