Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 309,25,150,45,168,35.0,159.0,0,tracked object
Object 282,27,68,48,89,37.5,78.5,0,tracked object
Object 307,32,20,57,36,44.5,28.0,0,tracked object
Object 281,77,97,100,119,88.5,108.0,0,tracked object
Object 300,108,31,133,53,120.5,42.0,0,tracked object
Object 303,110,121,157,147,133.5,134.0,0,tracked object
Object 301,152,77,172,98,162.0,87.5,0,tracked object
Object 306,184,26,199,45,191.5,35.5,0,tracked object
Object 304,187,150,206,169,196.5,159.5,0,tracked object
Object 308,216,81,234,103,225.0,92.0,0,tracked object
