Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 125,0,112,14,135,7.0,123.5,0,tracked object
Object 124,23,24,48,52,35.5,38.0,0,tracked object
Object 13,64,77,88,102,76.0,89.5,0,tracked object
Object 36,91,121,139,136,115.0,128.5,0,tracked object
Object 118,125,24,149,47,137.0,35.5,0,tracked object
Object 99,148,83,168,104,158.0,93.5,0,tracked object
Object 122,154,162,172,180,163.0,171.0,0,tracked object
Object 117,195,46,209,65,202.0,55.5,0,tracked object
Object 107,203,106,216,129,209.5,117.5,0,tracked object
Object 120,229,166,240,180,234.5,173.0,0,tracked object
