Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 139,0,140,47,180,23.5,160.0,0,tracked object
Object 137,42,76,61,97,51.5,86.5,0,tracked object
Object 124,86,17,107,43,96.5,30.0,0,tracked object
Object 13,109,70,128,90,118.5,80.0,0,tracked object
Object 36,120,105,158,125,139.0,115.0,0,tracked object
Object 140,129,0,142,9,135.5,4.5,0,new object
Object 132,156,151,172,164,164.0,157.5,0,tracked object
Object 135,167,41,186,61,176.5,51.0,0,tracked object
Object 99,171,90,187,107,179.0,98.5,0,tracked object
Object 133,208,118,218,137,213.0,127.5,0,tracked object
Object 136,216,72,229,88,222.5,80.0,0,tracked object
Object 138,217,163,240,180,228.5,171.5,0,tracked object
