Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 227,44,26,64,38,54.0,32.0,0,tracked object
Object 226,49,64,66,81,57.5,72.5,0,tracked object
Object 235,60,129,76,143,68.0,136.0,0,tracked object
Object 217,93,78,111,97,102.0,87.5,0,tracked object
Object 194,103,18,123,36,113.0,27.0,0,tracked object
Object 201,123,88,163,115,143.0,101.5,0,tracked object
Object 99,148,49,168,67,158.0,58.0,0,tracked object
Object 232,167,0,182,13,174.5,6.5,0,tracked object
Object 234,198,111,218,130,208.0,120.5,0,tracked object
Object 233,212,39,235,62,223.5,50.5,0,tracked object
