Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 134,28,31,51,44,39.5,37.5,0,tracked object
Object 124,30,73,50,91,40.0,82.0,0,tracked object
Object 131,39,147,58,161,48.5,154.0,0,tracked object
Object 13,80,87,100,107,90.0,97.0,0,tracked object
Object 135,94,28,114,46,104.0,37.0,0,tracked object
Object 36,112,96,151,126,131.5,111.0,0,tracked object
Object 99,138,59,155,75,146.5,67.0,0,tracked object
Object 136,155,13,168,28,161.5,20.5,0,tracked object
Object 132,183,115,200,134,191.5,124.5,0,tracked object
Object 133,192,52,210,70,201.0,61.0,0,tracked object
