Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 13,114,64,133,84,123.5,74.0,0,tracked object
Object 36,124,101,164,124,144.0,112.5,0,tracked object
Object 40,94,14,113,37,103.5,25.5,0,tracked object
Object 43,177,86,195,104,186.0,95.0,0,tracked object
Object 48,171,35,190,54,180.5,44.5,0,tracked object
Object 75,50,69,67,90,58.5,79.5,0,tracked object
Object 76,134,0,145,7,139.5,3.5,0,tracked object
Object 77,164,156,182,172,173.0,164.0,0,tracked object
Object 78,220,119,231,141,225.5,130.0,0,tracked object
Object 79,224,67,237,84,230.5,75.5,0,tracked object
