Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 282,6,67,29,88,17.5,77.5,0,tracked object
Object 319,7,18,33,32,20.0,25.0,0,tracked object
Object 312,14,156,37,174,25.5,165.0,0,tracked object
Object 281,63,87,87,111,75.0,99.0,0,tracked object
Object 318,84,17,109,37,96.5,27.0,0,tracked object
Object 303,101,101,150,135,125.5,118.0,0,tracked object
Object 317,135,55,156,75,145.5,65.0,0,tracked object
Object 320,158,3,173,20,165.5,11.5,0,tracked object
Object 321,186,124,204,146,195.0,135.0,0,tracked object
Object 322,199,51,219,72,209.0,61.5,0,tracked object
