Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 13,115,65,135,85,125.0,75.0,0,tracked object
Object 36,121,101,160,128,140.5,114.5,0,tracked object
Object 40,101,12,119,36,110.0,24.0,0,tracked object
Object 43,175,94,193,112,184.0,103.0,0,tracked object
Object 48,175,43,193,61,184.0,52.0,0,tracked object
Object 75,52,61,68,83,60.0,72.0,0,tracked object
Object 76,143,0,155,9,149.0,4.5,0,tracked object
Object 77,153,161,171,177,162.0,169.0,0,tracked object
Object 78,213,132,226,153,219.5,142.5,0,tracked object
Object 79,224,81,238,97,231.0,89.0,0,tracked object
