Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 36,79,79,114,108,96.5,93.5,0,tracked object
Object 99,130,82,147,98,138.5,90.0,0,tracked object
Object 13,77,47,96,65,86.5,56.0,0,tracked object
Object 135,138,33,158,51,148.0,42.0,0,tracked object
Object 156,183,79,198,93,190.5,86.0,0,tracked object
Object 166,0,125,41,180,20.5,152.5,0,tracked object
Object 163,103,138,120,151,111.5,144.5,0,tracked object
Object 162,163,123,177,141,170.0,132.0,0,tracked object
Object 169,197,167,232,180,214.5,173.5,0,new object
Object 167,71,0,87,16,79.0,8.0,0,tracked object
Object 165,21,33,36,57,28.5,45.0,0,tracked object
