Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 67,33,55,50,65,41.5,60.0,0,tracked object
Object 40,34,87,49,100,41.5,93.5,0,tracked object
Object 71,38,142,53,154,45.5,148.0,0,tracked object
Object 13,70,100,85,115,77.5,107.5,0,tracked object
Object 48,83,55,98,69,90.5,62.0,0,tracked object
Object 36,93,109,123,130,108.0,119.5,0,tracked object
Object 43,115,80,128,94,121.5,87.0,0,tracked object
Object 70,131,43,142,55,136.5,49.0,0,tracked object
Object 72,149,126,164,140,156.5,133.0,0,tracked object
Object 73,160,75,176,89,168.0,82.0,0,tracked object
Object 74,215,46,240,153,227.5,99.5,0,tracked object
