Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 10,51,15,78,28,64.5,21.5,0,tracked object
Object 11,51,60,73,81,62.0,70.5,0,tracked object
Object 21,54,147,77,164,65.5,155.5,0,tracked object
Object 13,107,80,131,103,119.0,91.5,0,tracked object
Object 3,128,16,151,35,139.5,25.5,0,tracked object
Object 14,144,96,188,127,166.0,111.5,0,tracked object
Object 1,176,54,194,73,185.0,63.5,0,tracked object
Object 17,194,6,207,23,200.5,14.5,0,tracked object
Object 19,220,120,237,141,228.5,130.5,0,tracked object
Object 20,231,51,240,65,235.5,58.0,0,tracked object
