Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 176,10,144,26,159,18.0,151.5,0,tracked object
Object 172,20,82,38,102,29.0,92.0,0,tracked object
Object 170,32,42,53,60,42.5,51.0,0,tracked object
Object 173,56,116,74,132,65.0,124.0,0,tracked object
Object 36,79,141,115,154,97.0,147.5,0,tracked object
Object 135,93,70,112,88,102.5,79.0,0,tracked object
Object 99,117,112,133,127,125.0,119.5,0,tracked object
Object 182,133,167,148,180,140.5,173.5,0,tracked object
Object 156,154,75,167,92,160.5,83.5,0,tracked object
Object 175,168,122,181,139,174.5,130.5,0,tracked object
Object 181,203,125,239,180,221.0,152.5,0,tracked object
