Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 67,29,45,47,55,38.0,50.0,0,tracked object
Object 40,31,77,45,91,38.0,84.0,0,tracked object
Object 71,35,133,49,144,42.0,138.5,0,tracked object
Object 13,67,90,81,105,74.0,97.5,0,tracked object
Object 48,79,45,95,58,87.0,51.5,0,tracked object
Object 36,90,99,120,120,105.0,109.5,0,tracked object
Object 43,111,70,125,83,118.0,76.5,0,tracked object
Object 70,128,32,139,45,133.5,38.5,0,tracked object
Object 72,145,115,160,129,152.5,122.0,0,tracked object
Object 73,157,65,172,80,164.5,72.5,0,tracked object
Object 74,210,38,240,143,225.0,90.5,0,tracked object
