Object Name,X1,Y1,X2,Y2,Center X,Center Y,d,description
Object 148,0,109,9,130,4.5,119.5,0,tracked object
Object 124,32,35,54,63,43.0,49.0,0,tracked object
Object 13,60,92,80,115,70.0,103.5,0,tracked object
Object 141,71,0,90,23,80.5,11.5,0,tracked object
Object 36,77,133,120,153,98.5,143.0,0,tracked object
Object 135,120,53,142,75,131.0,64.0,0,tracked object
Object 99,133,109,151,128,142.0,118.5,0,tracked object
Object 149,181,136,192,157,186.5,146.5,0,tracked object
Object 146,182,82,195,99,188.5,90.5,0,tracked object
Object 150,227,165,240,180,233.5,172.5,0,tracked object
